Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,PitOutTime,PitInTime,TrackStatus,IsAccurate,Position,StintLap,PaceDelta,IsWinner,IsRedBull,CompundOrdinal
RUS,Mercedes,5.0,98.116,SOFT,8.0,1.0,,,1,True,2.0,4,-0.31349999999999056,False,False,0
RUS,Mercedes,6.0,97.784,SOFT,9.0,1.0,,,1,True,2.0,5,-0.48799999999999955,False,False,0
RUS,Mercedes,7.0,98.082,SOFT,10.0,1.0,,,1,True,2.0,6,-0.4270000000000067,False,False,0
RUS,Mercedes,8.0,97.862,SOFT,11.0,1.0,,,1,True,2.0,7,-0.5050000000000097,False,False,0
RUS,Mercedes,9.0,97.73,SOFT,12.0,1.0,,,1,True,2.0,8,-0.914999999999992,False,False,0
RUS,Mercedes,13.0,97.167,HARD,2.0,2.0,,,1,True,7.0,1,-0.19599999999999795,False,False,2
RUS,Mercedes,14.0,97.571,HARD,3.0,2.0,,,1,True,7.0,2,0.016999999999995907,False,False,2
RUS,Mercedes,15.0,96.922,HARD,4.0,2.0,,,1,True,4.0,3,-0.3534999999999968,False,False,2
RUS,Mercedes,16.0,96.683,HARD,5.0,2.0,,,1,True,3.0,4,-0.6629999999999967,False,False,2
RUS,Mercedes,17.0,96.234,HARD,6.0,2.0,,,1,True,3.0,5,-1.1580000000000013,False,False,2
RUS,Mercedes,18.0,97.819,HARD,7.0,2.0,,,1,True,4.0,6,0.2669999999999959,False,False,2
RUS,Mercedes,19.0,97.233,HARD,8.0,2.0,,,1,True,4.0,7,-0.24199999999999022,False,False,2
RUS,Mercedes,20.0,96.732,HARD,9.0,2.0,,,1,True,4.0,8,-0.9689999999999941,False,False,2
RUS,Mercedes,21.0,96.769,HARD,10.0,2.0,,,1,True,4.0,9,-0.6229999999999905,False,False,2
RUS,Mercedes,22.0,96.992,HARD,11.0,2.0,,,1,True,4.0,10,-0.4329999999999927,False,False,2
RUS,Mercedes,23.0,96.954,HARD,12.0,2.0,,,1,True,4.0,11,-0.4890000000000043,False,False,2
RUS,Mercedes,24.0,96.736,HARD,13.0,2.0,,,1,True,4.0,12,-0.6039999999999992,False,False,2
RUS,Mercedes,25.0,96.928,HARD,14.0,2.0,,,1,True,4.0,13,-0.5870000000000033,False,False,2
RUS,Mercedes,26.0,96.801,HARD,15.0,2.0,,,1,True,4.0,14,-0.9475000000000051,False,False,2
RUS,Mercedes,27.0,96.815,HARD,16.0,2.0,,,1,True,4.0,15,-0.3859999999999957,False,False,2
RUS,Mercedes,28.0,96.911,HARD,17.0,2.0,,,1,True,4.0,16,-0.3430000000000035,False,False,2
RUS,Mercedes,29.0,97.066,HARD,18.0,2.0,,,1,True,4.0,17,-0.019000000000005457,False,False,2
